cedula,nombre,apellido,genero
1000000190,Fernando,Perez,M
1000000191,Daniela,Castro,F
1000000192,Fernando,Gomez,M
1000000193,Gabriela,Gomez,F
1000000194,Juan,Sanchez,M
1000000195,Daniela,Perez,F
1000000196,Miguel,Rodriguez,M
1000000197,Sofia,Lopez,F
1000000198,Miguel,Torres,M
1000000199,Gabriela,Castro,F
1000000200,Luis,Rodriguez,M
1000000201,Lucia,Gomez,F
1000000202,Jorge,Perez,M
1000000203,Lucia,Martinez,F
1000000204,Jorge,Rodriguez,M
1000000205,Carolina,Gomez,F
1000000206,Carlos,Vera,M
1000000207,Maria,Mendoza,F
1000000208,Pedro,Rodriguez,M
1000000209,Paola,Martinez,F
1000000210,Andres,Rodriguez,M
1000000211,Sofia,Perez,F
1000000212,Pedro,Vera,M
1000000213,Daniela,Sanchez,F
1000000214,Carlos,Sanchez,M
1000000215,Daniela,Torres,F
1000000216,Jorge,Torres,M
1000000217,Daniela,Perez,F
1000000218,Carlos,Sanchez,M
1000000219,Lucia,Castro,F
1000000220,Andres,Perez,M
1000000221,Ana,Castro,F
1000000222,Jorge,Martinez,M
1000000223,Daniela,Vera,F
1000000224,Ricardo,Torres,M
1000000225,Ana,Vera,F
1000000226,Ricardo,Rodriguez,M
1000000227,Carolina,Perez,F
1000000228,Jorge,Perez,M
1000000229,Andrea,Torres,F
1000000230,Pedro,Martinez,M
1000000231,Gabriela,Lopez,F
1000000232,Miguel,Castro,M
1000000233,Daniela,Lopez,F
1000000234,Andres,Torres,M
1000000235,Carolina,Vera,F
1000000236,Miguel,Vera,M
1000000237,Carolina,Torres,F
1000000238,Luis,Rodriguez,M
1000000239,Gabriela,Vera,F
1000000240,Luis,Castro,M
1000000241,Valeria,Sanchez,F
1000000242,Jorge,Torres,M
1000000243,Maria,Sanchez,F
1000000244,Andres,Rodriguez,M
1000000245,Gabriela,Castro,F
1000000246,Ricardo,Martinez,M
1000000247,Paola,Mendoza,F
1000000248,Diego,Rodriguez,M
1000000249,Andrea,Mendoza,F
1000000250,Luis,Lopez,M
1000000251,Carolina,Torres,F
1000000252,Ricardo,Martinez,M
1000000253,Ana,Rodriguez,F
1000000254,Andres,Rodriguez,M
1000000255,Sofia,Gomez,F
1000000256,Juan,Perez,M
1000000257,Sofia,Mendoza,F
1000000258,Ricardo,Lopez,M
1000000259,Paola,Vera,F
1000000260,Ricardo,Rodriguez,M
1000000261,Gabriela,Mendoza,F
1000000262,Jorge,Rodriguez,M
1000000263,Lucia,Perez,F
1000000264,Carlos,Vera,M
1000000265,Sofia,Gomez,F
1000000266,Fernando,Mendoza,M
1000000267,Maria,Torres,F
1000000268,Pedro,Lopez,M
1000000269,Paola,Gomez,F
1000000270,Diego,Torres,M
1000000271,Andrea,Castro,F
1000000272,Miguel,Mendoza,M
1000000273,Valeria,Torres,F
1000000274,Jorge,Torres,M
1000000275,Paola,Gomez,F
1000000276,Diego,Mendoza,M
1000000277,Carolina,Rodriguez,F
1000000278,Andres,Torres,M
1000000279,Paola,Rodriguez,F
1000000280,Andres,Mendoza,M
1000000281,Ana,Sanchez,F
1000000282,Pedro,Sanchez,M
1000000283,Daniela,Martinez,F
1000000284,Fernando,Lopez,M
1000000285,Lucia,Gomez,F
1000000286,Pedro,Vera,M
1000000287,Lucia,Rodriguez,F
1000000288,Carlos,Vera,M
1000000289,Gabriela,Martinez,F
1000000290,Fernando,Mendoza,M
1000000291,Gabriela,Perez,F
1000000292,Pedro,Vera,M
1000000293,Gabriela,Castro,F
1000000294,Juan,Castro,M
1000000295,Gabriela,Mendoza,F
1000000296,Juan,Martinez,M
1000000297,Carolina,Vera,F
1000000298,Jorge,Torres,M
1000000299,Andrea,Castro,F
1000000300,Pedro,Mendoza,M
1000000301,Sofia,Sanchez,F
1000000302,Jorge,Mendoza,M
1000000303,Maria,Vera,F
1000000304,Miguel,Vera,M
1000000305,Lucia,Mendoza,F
1000000306,Luis,Castro,M
1000000307,Andrea,Perez,F
1000000308,Jorge,Castro,M
1000000309,Valeria,Perez,F
1000000310,Carlos,Vera,M
1000000311,Lucia,Mendoza,F
1000000312,Luis,Perez,M
1000000313,Carolina,Vera,F
1000000314,Miguel,Rodriguez,M
1000000315,Paola,Martinez,F
1000000316,Miguel,Vera,M
1000000317,Carolina,Vera,F
1000000318,Andres,Lopez,M
1000000319,Paola,Perez,F
1000000320,Fernando,Perez,M
1000000321,Daniela,Rodriguez,F
1000000322,Carlos,Perez,M
1000000323,Maria,Rodriguez,F
1000000324,Pedro,Perez,M
1000000325,Valeria,Gomez,F
1000000326,Pedro,Gomez,M
1000000327,Paola,Lopez,F
1000000328,Ricardo,Rodriguez,M
1000000329,Paola,Sanchez,F
1000000330,Miguel,Gomez,M
1000000331,Valeria,Castro,F
1000000332,Carlos,Gomez,M
1000000333,Carolina,Lopez,F
1000000334,Ricardo,Perez,M
1000000335,Carolina,Castro,F
1000000336,Jorge,Vera,M
1000000337,Sofia,Lopez,F
1000000338,Ricardo,Rodriguez,M
1000000339,Ana,Sanchez,F
1000000340,Ricardo,Lopez,M
1000000341,Valeria,Perez,F
1000000342,Miguel,Torres,M
1000000343,Gabriela,Martinez,F
1000000344,Carlos,Torres,M
1000000345,Daniela,Perez,F
1000000346,Jorge,Mendoza,M
1000000347,Ana,Vera,F
1000000348,Miguel,Mendoza,M
1000000349,Lucia,Vera,F
1000000350,Luis,Torres,M
1000000351,Carolina,Castro,F
1000000352,Fernando,Mendoza,M
1000000353,Paola,Vera,F
1000000354,Ricardo,Sanchez,M
1000000355,Daniela,Rodriguez,F
1000000356,Carlos,Sanchez,M
1000000357,Paola,Rodriguez,F
1000000358,Diego,Castro,M
1000000359,Valeria,Vera,F
1000000360,Miguel,Perez,M
1000000361,Paola,Martinez,F
1000000362,Luis,Mendoza,M
1000000363,Sofia,Martinez,F
1000000364,Andres,Martinez,M
1000000365,Carolina,Castro,F
1000000366,Andres,Torres,M
1000000367,Maria,Torres,F
1000000368,Pedro,Lopez,M
1000000369,Sofia,Vera,F
1000000370,Diego,Torres,M
1000000371,Sofia,Mendoza,F
1000000372,Diego,Mendoza,M
1000000373,Maria,Lopez,F
1000000374,Andres,Rodriguez,M
1000000375,Gabriela,Rodriguez,F
1000000376,Andres,Castro,M
1000000377,Daniela,Mendoza,F
1000000378,Fernando,Torres,M
1000000379,Daniela,Vera,F
1000000380,Fernando,Martinez,M
1000000381,Daniela,Mendoza,F
1000000382,Andres,Sanchez,M
1000000383,Carolina,Rodriguez,F
1000000384,Carlos,Rodriguez,M
1000000385,Daniela,Lopez,F
1000000386,Fernando,Gomez,M
1000000387,Sofia,Rodriguez,F
1000000388,Diego,Sanchez,M
1000000389,Valeria,Torres,F
1000000390,Ricardo,Sanchez,M
1000000391,Ana,Rodriguez,F
1000000392,Andres,Rodriguez,M
1000000393,Daniela,Gomez,F
1000000394,Andres,Perez,M
1000000395,Andrea,Gomez,F
1000000396,Andres,Perez,M
1000000397,Maria,Torres,F
1000000398,Andres,Gomez,M
1000000399,Paola,Lopez,F
1000000400,Juan,Castro,M
1000000401,Carolina,Mendoza,F
1000000402,Diego,Mendoza,M
1000000403,Daniela,Gomez,F
1000000404,Juan,Sanchez,M
1000000405,Paola,Lopez,F
1000000406,Carlos,Vera,M
1000000407,Paola,Lopez,F
1000000408,Ricardo,Perez,M
1000000409,Lucia,Gomez,F
1000000410,Ricardo,Sanchez,M
1000000411,Ana,Rodriguez,F
1000000412,Carlos,Torres,M
1000000413,Gabriela,Castro,F
1000000414,Ricardo,Castro,M
1000000415,Sofia,Torres,F
1000000416,Jorge,Mendoza,M
1000000417,Paola,Sanchez,F
1000000418,Ricardo,Vera,M
1000000419,Carolina,Castro,F
1000000420,Ricardo,Perez,M
1000000421,Valeria,Lopez,F
1000000422,Pedro,Rodriguez,M
1000000423,Carolina,Lopez,F
1000000424,Luis,Rodriguez,M
1000000425,Lucia,Torres,F
1000000426,Carlos,Gomez,M
1000000427,Maria,Vera,F
1000000428,Diego,Castro,M
1000000429,Paola,Sanchez,F
1000000430,Juan,Rodriguez,M
1000000431,Carolina,Sanchez,F
1000000432,Diego,Lopez,M
1000000433,Sofia,Sanchez,F
1000000434,Ricardo,Rodriguez,M
1000000435,Gabriela,Lopez,F
1000000436,Fernando,Rodriguez,M
1000000437,Lucia,Sanchez,F
1000000438,Luis,Lopez,M
1000000439,Maria,Gomez,F
1000000440,Andres,Castro,M
1000000441,Valeria,Sanchez,F
1000000442,Diego,Lopez,M
1000000443,Paola,Sanchez,F
1000000444,Jorge,Sanchez,M
1000000445,Andrea,Torres,F
1000000446,Diego,Mendoza,M
1000000447,Ana,Castro,F
1000000448,Juan,Vera,M
1000000449,Daniela,Castro,F
1000000450,Andres,Perez,M
1000000451,Ana,Rodriguez,F
1000000452,Ricardo,Castro,M
1000000453,Maria,Sanchez,F
1000000454,Ricardo,Perez,M
1000000455,Lucia,Mendoza,F
1000000456,Fernando,Mendoza,M
1000000457,Carolina,Gomez,F
1000000458,Ricardo,Vera,M
1000000459,Paola,Lopez,F
1000000460,Diego,Martinez,M
1000000461,Gabriela,Martinez,F
1000000462,Miguel,Lopez,M
1000000463,Lucia,Martinez,F
1000000464,Jorge,Mendoza,M
1000000465,Carolina,Vera,F
1000000466,Fernando,Perez,M
1000000467,Paola,Lopez,F
1000000468,Miguel,Sanchez,M
1000000469,Daniela,Lopez,F
1000000470,Jorge,Torres,M
1000000471,Maria,Torres,F
1000000472,Diego,Vera,M
1000000473,Maria,Rodriguez,F
1000000474,Fernando,Martinez,M
1000000475,Valeria,Mendoza,F
1000000476,Diego,Perez,M
1000000477,Sofia,Sanchez,F
1000000478,Fernando,Gomez,M
1000000479,Carolina,Mendoza,F
1000000480,Diego,Lopez,M
1000000481,Maria,Castro,F
1000000482,Pedro,Gomez,M
1000000483,Carolina,Torres,F
1000000484,Juan,Torres,M
1000000485,Gabriela,Lopez,F
1000000486,Pedro,Lopez,M
1000000487,Paola,Lopez,F
1000000488,Luis,Mendoza,M
1000000489,Carolina,Torres,F
1000000490,Andres,Vera,M
1000000491,Paola,Mendoza,F
1000000492,Pedro,Mendoza,M
1000000493,Andrea,Gomez,F
1000000494,Jorge,Rodriguez,M
1000000495,Valeria,Torres,F
1000000496,Luis,Lopez,M
1000000497,Carolina,Vera,F
1000000498,Miguel,Torres,M
1000000499,Carolina,Perez,F
1000000500,Andres,Sanchez,M
1000000501,Valeria,Castro,F
1000000502,Diego,Gomez,M
1000000503,Paola,Torres,F
1000000504,Diego,Martinez,M
1000000505,Daniela,Torres,F
1000000506,Fernando,Vera,M
1000000507,Paola,Martinez,F
1000000508,Pedro,Rodriguez,M
1000000509,Valeria,Vera,F
1000000510,Pedro,Vera,M
1000000511,Maria,Martinez,F
1000000512,Diego,Vera,M
1000000513,Gabriela,Gomez,F
1000000514,Diego,Perez,M
1000000515,Lucia,Torres,F
1000000516,Ricardo,Martinez,M
1000000517,Ana,Mendoza,F
1000000518,Carlos,Torres,M
1000000519,Paola,Perez,F
1000000520,Luis,Vera,M
1000000521,Lucia,Lopez,F
1000000522,Diego,Sanchez,M
1000000523,Daniela,Castro,F
1000000524,Jorge,Lopez,M
1000000525,Daniela,Torres,F
1000000526,Jorge,Martinez,M
1000000527,Paola,Torres,F
1000000528,Juan,Castro,M
1000000529,Ana,Rodriguez,F
1000000530,Andres,Rodriguez,M
1000000531,Ana,Vera,F
1000000532,Carlos,Lopez,M
1000000533,Paola,Gomez,F
1000000534,Andres,Perez,M
1000000535,Maria,Martinez,F
1000000536,Juan,Sanchez,M
1000000537,Daniela,Martinez,F
1000000538,Jorge,Gomez,M
1000000539,Sofia,Torres,F
1000000540,Jorge,Castro,M
1000000541,Lucia,Gomez,F
1000000542,Luis,Lopez,M
1000000543,Valeria,Vera,F
1000000544,Ricardo,Rodriguez,M
1000000545,Paola,Castro,F
1000000546,Luis,Rodriguez,M
1000000547,Paola,Sanchez,F
1000000548,Diego,Sanchez,M
1000000549,Maria,Mendoza,F
1000000550,Andres,Torres,M
1000000551,Lucia,Lopez,F
1000000552,Diego,Martinez,M
1000000553,Valeria,Sanchez,F
1000000554,Jorge,Sanchez,M
1000000555,Paola,Sanchez,F
1000000556,Pedro,Vera,M
1000000557,Paola,Lopez,F
1000000558,Pedro,Vera,M
1000000559,Valeria,Martinez,F
1000000560,Ricardo,Sanchez,M
1000000561,Carolina,Perez,F
1000000562,Jorge,Sanchez,M
1000000563,Maria,Castro,F
1000000564,Juan,Castro,M
1000000565,Paola,Sanchez,F
1000000566,Pedro,Castro,M
1000000567,Daniela,Rodriguez,F
1000000568,Pedro,Castro,M
1000000569,Carolina,Gomez,F
1000000570,Carlos,Perez,M
1000000571,Carolina,Mendoza,F
1000000572,Juan,Castro,M
1000000573,Daniela,Gomez,F
1000000574,Carlos,Sanchez,M
1000000575,Daniela,Vera,F
1000000576,Luis,Rodriguez,M
1000000577,Lucia,Torres,F
1000000578,Miguel,Torres,M
1000000579,Andrea,Sanchez,F
1000000580,Luis,Sanchez,M
1000000581,Paola,Sanchez,F
1000000582,Miguel,Lopez,M
1000000583,Paola,Lopez,F
1000000584,Luis,Rodriguez,M
1000000585,Gabriela,Torres,F
1000000586,Miguel,Lopez,M
1000000587,Gabriela,Perez,F
1000000588,Andres,Torres,M
1000000589,Ana,Mendoza,F
1000000590,Miguel,Sanchez,M
1000000591,Valeria,Vera,F
1000000592,Miguel,Lopez,M
1000000593,Sofia,Mendoza,F
1000000594,Juan,Castro,M
1000000595,Andrea,Martinez,F
1000000596,Ricardo,Rodriguez,M
1000000597,Ana,Mendoza,F
1000000598,Andres,Vera,M
1000000599,Ana,Gomez,F
1000000600,Juan,Perez,M
1000000601,Carolina,Mendoza,F
1000000602,Carlos,Lopez,M
1000000603,Sofia,Torres,F
1000000604,Luis,Vera,M
1000000605,Paola,Martinez,F
1000000606,Fernando,Vera,M
1000000607,Valeria,Gomez,F
1000000608,Jorge,Lopez,M
1000000609,Paola,Castro,F
1000000610,Jorge,Sanchez,M
1000000611,Maria,Martinez,F
1000000612,Pedro,Mendoza,M
1000000613,Paola,Rodriguez,F
1000000614,Miguel,Lopez,M
1000000615,Daniela,Torres,F
1000000616,Miguel,Perez,M
1000000617,Gabriela,Sanchez,F
1000000618,Pedro,Lopez,M
1000000619,Paola,Lopez,F
1000000620,Pedro,Castro,M
1000000621,Maria,Perez,F
1000000622,Miguel,Rodriguez,M
1000000623,Lucia,Castro,F
1000000624,Pedro,Lopez,M
1000000625,Andrea,Rodriguez,F
1000000626,Ricardo,Rodriguez,M
1000000627,Sofia,Martinez,F
1000000628,Luis,Castro,M
1000000629,Maria,Sanchez,F
1000000630,Luis,Gomez,M
1000000631,Andrea,Sanchez,F
1000000632,Luis,Lopez,M
1000000633,Maria,Gomez,F
1000000634,Juan,Martinez,M
1000000635,Sofia,Castro,F
1000000636,Miguel,Perez,M
1000000637,Lucia,Sanchez,F
1000000638,Juan,Gomez,M
1000000639,Gabriela,Torres,F
1000000640,Carlos,Lopez,M
1000000641,Paola,Mendoza,F
1000000642,Miguel,Torres,M
1000000643,Valeria,Lopez,F
1000000644,Diego,Torres,M
1000000645,Sofia,Castro,F
1000000646,Juan,Torres,M
1000000647,Carolina,Mendoza,F
1000000648,Juan,Perez,M
1000000649,Paola,Vera,F
1000000650,Jorge,Lopez,M
1000000651,Paola,Mendoza,F
1000000652,Carlos,Lopez,M
1000000653,Daniela,Castro,F
1000000654,Luis,Lopez,M
1000000655,Lucia,Sanchez,F
1000000656,Ricardo,Castro,M
1000000657,Andrea,Martinez,F
1000000658,Jorge,Castro,M
1000000659,Andrea,Sanchez,F
1000000660,Diego,Torres,M
1000000661,Valeria,Vera,F
1000000662,Carlos,Lopez,M
1000000663,Andrea,Rodriguez,F
1000000664,Jorge,Mendoza,M
1000000665,Sofia,Vera,F
1000000666,Miguel,Mendoza,M
1000000667,Gabriela,Vera,F
1000000668,Carlos,Martinez,M
1000000669,Gabriela,Martinez,F
1000000670,Andres,Martinez,M
1000000671,Lucia,Mendoza,F
1000000672,Carlos,Lopez,M
1000000673,Ana,Lopez,F
1000000674,Jorge,Lopez,M
1000000675,Daniela,Gomez,F
1000000676,Fernando,Perez,M
1000000677,Valeria,Torres,F
1000000678,Fernando,Martinez,M
1000000679,Ana,Vera,F
1000000680,Miguel,Vera,M
1000000681,Maria,Sanchez,F
1000000682,Ricardo,Sanchez,M
1000000683,Daniela,Lopez,F
1000000684,Ricardo,Torres,M
1000000685,Sofia,Gomez,F
1000000686,Diego,Rodriguez,M
1000000687,Ana,Martinez,F
1000000688,Fernando,Martinez,M
1000000689,Ana,Sanchez,F
1000000690,Ricardo,Rodriguez,M
1000000691,Gabriela,Torres,F
1000000692,Ricardo,Castro,M
1000000693,Andrea,Perez,F
1000000694,Ricardo,Sanchez,M
1000000695,Maria,Gomez,F
1000000696,Andres,Sanchez,M
1000000697,Daniela,Martinez,F
1000000698,Juan,Gomez,M
1000000699,Lucia,Castro,F
1000000700,Jorge,Lopez,M
1000000701,Lucia,Perez,F
1000000702,Carlos,Torres,M
1000000703,Sofia,Vera,F
1000000704,Jorge,Mendoza,M
1000000705,Daniela,Gomez,F
1000000706,Miguel,Sanchez,M
1000000707,Daniela,Castro,F
1000000708,Ricardo,Lopez,M
1000000709,Maria,Gomez,F
1000000710,Luis,Castro,M
1000000711,Maria,Lopez,F
1000000712,Andres,Mendoza,M
1000000713,Gabriela,Mendoza,F
1000000714,Ricardo,Mendoza,M
1000000715,Gabriela,Sanchez,F
1000000716,Pedro,Torres,M
1000000717,Ana,Martinez,F
1000000718,Jorge,Lopez,M
1000000719,Carolina,Castro,F
1000000720,Diego,Torres,M
1000000721,Carolina,Perez,F
1000000722,Pedro,Vera,M
1000000723,Valeria,Perez,F
1000000724,Juan,Rodriguez,M
1000000725,Carolina,Rodriguez,F
1000000726,Luis,Sanchez,M
1000000727,Carolina,Martinez,F
1000000728,Carlos,Perez,M
1000000729,Paola,Vera,F
1000000730,Luis,Gomez,M
1000000731,Gabriela,Torres,F
1000000732,Pedro,Torres,M
1000000733,Andrea,Martinez,F
1000000734,Carlos,Vera,M
1000000735,Maria,Vera,F
1000000736,Juan,Mendoza,M
1000000737,Ana,Martinez,F
1000000738,Ricardo,Vera,M
1000000739,Valeria,Vera,F
1000000740,Jorge,Sanchez,M
1000000741,Ana,Vera,F
1000000742,Juan,Martinez,M
1000000743,Lucia,Castro,F
1000000744,Diego,Martinez,M
1000000745,Ana,Vera,F
1000000746,Carlos,Rodriguez,M
1000000747,Gabriela,Castro,F
1000000748,Jorge,Torres,M
1000000749,Ana,Vera,F
1000000750,Andres,Martinez,M
1000000751,Sofia,Martinez,F
1000000752,Luis,Lopez,M
1000000753,Andrea,Lopez,F
1000000754,Fernando,Torres,M
1000000755,Sofia,Martinez,F
1000000756,Miguel,Gomez,M
1000000757,Sofia,Lopez,F
1000000758,Luis,Sanchez,M
1000000759,Sofia,Gomez,F
1000000760,Ricardo,Gomez,M
1000000761,Ana,Gomez,F
1000000762,Diego,Mendoza,M
1000000763,Valeria,Castro,F
1000000764,Diego,Castro,M
1000000765,Valeria,Martinez,F
1000000766,Miguel,Gomez,M
1000000767,Paola,Lopez,F
1000000768,Diego,Mendoza,M
1000000769,Carolina,Sanchez,F
1000000770,Ricardo,Perez,M
1000000771,Daniela,Torres,F
1000000772,Carlos,Sanchez,M
1000000773,Paola,Mendoza,F
1000000774,Juan,Perez,M
1000000775,Daniela,Sanchez,F
1000000776,Carlos,Lopez,M
1000000777,Valeria,Castro,F
1000000778,Fernando,Vera,M
1000000779,Paola,Castro,F
1000000780,Fernando,Perez,M
1000000781,Paola,Castro,F
1000000782,Pedro,Martinez,M
1000000783,Valeria,Mendoza,F
1000000784,Fernando,Gomez,M
1000000785,Maria,Mendoza,F
1000000786,Carlos,Martinez,M
1000000787,Ana,Torres,F
1000000788,Luis,Perez,M
1000000789,Sofia,Mendoza,F
1000000790,Diego,Torres,M
1000000791,Andrea,Castro,F
1000000792,Luis,Martinez,M
1000000793,Daniela,Sanchez,F
1000000794,Jorge,Vera,M
1000000795,Daniela,Castro,F
1000000796,Juan,Martinez,M
1000000797,Ana,Martinez,F
1000000798,Carlos,Torres,M
1000000799,Gabriela,Sanchez,F
1000000800,Andres,Castro,M
1000000801,Lucia,Martinez,F
1000000802,Carlos,Castro,M
1000000803,Lucia,Martinez,F
1000000804,Andres,Vera,M
1000000805,Lucia,Castro,F
1000000806,Carlos,Sanchez,M
1000000807,Andrea,Vera,F
1000000808,Miguel,Gomez,M
1000000809,Andrea,Lopez,F
1000000810,Jorge,Torres,M
1000000811,Daniela,Perez,F
1000000812,Miguel,Sanchez,M
1000000813,Lucia,Rodriguez,F
1000000814,Miguel,Mendoza,M
1000000815,Sofia,Rodriguez,F
1000000816,Luis,Gomez,M
1000000817,Ana,Sanchez,F
1000000818,Carlos,Torres,M
1000000819,Andrea,Torres,F
1000000820,Juan,Martinez,M
1000000821,Valeria,Gomez,F
1000000822,Ricardo,Vera,M
1000000823,Lucia,Gomez,F
1000000824,Luis,Castro,M
1000000825,Lucia,Mendoza,F
1000000826,Juan,Vera,M
1000000827,Daniela,Rodriguez,F
1000000828,Diego,Castro,M
1000000829,Carolina,Mendoza,F
1000000830,Pedro,Torres,M
1000000831,Sofia,Sanchez,F
1000000832,Diego,Rodriguez,M
